Cutoff,downstream_distance,time,radius,cutlen,,,,,,,,,,,,,
230,7310.503728,856.5,316.6627334,3661.90993,,,,,,,,,,,,,
231,67181.32795,857.5,492.1479973,6261.075769,,,,,,,,,,,,,
232,241141.7619,859.5,202.9432814,6684.589169,,,,,,,,,,,,,
233,124100.9098,860.5,679.2786138,8860.506145,,,,,,,,,,,,,
234,128271.4814,861.5,350.1058141,9825.600265,,,,,,,,,,,,,
235,135521.7323,865.5,389.6417192,4466.563606,,,,,,,,,,,,,
236,311110.6013,870,431.0632672,6610.182059,,,,,,,,,,,,,
237,363711.1517,876.5,487.0176329,6110.989833,,,,,,,,,,,,,
238,56901.81449,878,367.9996469,4161.139488,,,,,,,,,,,,,
239,326186.7265,883,435.5482497,4961.756065,,,,,,,,,,,,,
240,12468.69542,887.5,385.9282493,4662.014324,,,,,,,,,,,,,
241,381777.8659,901.5,242.7570908,2458.925173,,,,,,,,,,,,,
242,105386.1267,902.5,283.5059313,3362.312047,,,,,,,,,,,,,
243,362324.571,903.5,545.9791936,6511.262975,,,,,,,,,,,,,
244,388941.1734,910.5,542.6636622,7360.878602,,,,,,,,,,,,,
245,243670.2741,914,226.127477,2258.086471,,,,,,,,,,,,,
246,308345.6339,915,261.8710817,2910.693017,,,,,,,,,,,,,
247,363694.5429,916.5,441.7349066,5765.931366,,,,,,,,,,,,,
248,339019.2097,918.5,593.7066049,6861.971378,,,,,,,,,,,,,
249,184613.461,921.5,388.0916046,4510.958119,,,,,,,,,,,,,
250,30155.61974,927.5,521.5493792,6059.811931,,,,,,,,,,,,,
251,237347.9354,931.5,333.8627876,3861.518703,,,,,,,,,,,,,
252,123102.5423,932,474.5582889,6011.674039,,,,,,,,,,,,,
253,9062.244212,938.5,281.4395548,3211.207556,,,,,,,,,,,,,
254,100758.3427,939,255.9671788,2911.532036,,,,,,,,,,,,,
255,71788.49716,941,400.3576668,4360.296492,,,,,,,,,,,,,
256,362047.3243,941.5,273.4677767,2912.439075,,,,,,,,,,,,,
257,245259.1532,943,312.4672591,3762.101389,,,,,,,,,,,,,
258,250452.3551,946,333.565713,3610.782983,,,,,,,,,,,,,
259,275887.0124,949.5,343.1187523,4011.535632,,,,,,,,,,,,,
260,339009.0228,965.5,637.1320352,8109.516573,,,,,,,,,,,,,
261,228790.7503,971.5,457.5139671,5110.389635,,,,,,,,,,,,,
262,41175.58335,972.5,473.5065203,6113.444021,,,,,,,,,,,,,
263,31103.48012,974,175.6209809,19697.15857,,,,,,,,,,,,,
264,43113.10885,977.5,387.5609067,4784.073133,,,,,,,,,,,,,
