Cutoff,downstream_distance,time,radius,cutlen,,,
196,8599.813315,734,336.8540108,4211.487194,,,
197,121944.4726,736,380.9848973,4560.570454,,,
198,135070.3796,737,456.6661433,5059.363659,,,
199,388382.8942,744,365.7565725,4411.801739,,,
200,78902.74798,746,398.8654823,4560.174639,,,
201,253957.8346,753.5,429.5771019,5210.528074,,,
202,9849.841695,758.5,468.8873289,17721.21005,,,
203,164811.2354,761,508.5774394,6409.919623,,,
204,255128.8431,761.5,409.7442971,7265.225434,,,
205,77463.52527,767.5,355.1267668,13623.49815,,,
206,191299.104,771.5,373.65957,4059.273681,,,
207,161882.9156,773,382.7854185,4312.695246,,,
208,23620.87924,778,529.6592656,6410.89594,,,
209,40336.85343,778.5,398.467534,4310.211008,,,
210,290450.5742,784,388.8161531,4309.810076,,,
211,169296.6901,785.5,553.4340305,7010.820138,,,
212,169279.4155,793.5,365.7286063,4417.806379,,,
213,237967.7951,798,370.639109,4360.56326,,,
214,362181.6099,803,296.6166396,3510.542161,,,
215,249669.1016,803.5,474.2989866,5761.143955,,,
216,72053.38033,805,348.6108188,3659.315177,,,
217,221520.2965,806,324.9731989,3459.231202,,,
218,178097.3642,807,323.5921579,3359.202012,,,
219,247794.9147,810,340.395781,3666.828155,,,
220,96549.4547,811.5,306.0802135,3209.218815,,,
221,232753.1273,813.5,377.3437616,4410.929634,,,
222,276785.9629,817.5,332.2935589,3509.330719,,,
223,144170.4406,830,314.1022004,3760.517307,,,
224,25584.46966,830.5,261.4732666,2759.129367,,,
225,375565.0041,833,343.4501665,11171.14255,,,
226,84934.7198,849,411.683998,13919.92142,,,
227,69605.84361,859,324.6480082,3811.840549,,,
228,244806.4104,871,370.5145694,4859.061617,,,
229,113535.8192,872,362.9446276,4360.595744,,,
230,129812.3035,874,360.6160375,4211.039995,,,
231,51622.06335,876,266.978595,3009.951046,,,
232,413959.532,899.5,361.3042298,4160.244279,,,
233,273315.4065,903,317.552805,3860.974211,,,
234,407110.345,906,260.8502182,2909.129832,,,
235,211138.9534,910.5,450.2881854,5008.98835,,,
236,199975.4727,912.5,273.5077828,2959.984552,,,
237,150026.4887,913.5,278.3277811,3059.07445,,,
238,279618.2885,920,215.0920647,12129.44537,,,
239,331700.6127,921.5,598.1933726,7209.360317,,,
240,320440.9137,928.5,275.1423512,3159.655945,,,
241,337766.7881,930.5,231.3515199,8314.632172,,,
242,330873.9183,933.5,442.9252803,5068.002229,,,
243,81656.32067,940,274.463734,2958.678326,,,
244,100341.4843,941.5,332.8869792,3659.184806,,,
245,16774.83589,943,395.3117376,4310.003746,,,
246,276143.0832,946,289.439736,3008.846017,,,
247,87685.43038,946.5,421.8356868,4810.22258,,,
248,102821.0244,948.5,319.9891379,15924.74329,,,
249,109366.5296,951,316.7169455,3419.457393,,,
250,283598.1152,951.5,273.4242743,3059.711511,,,
