Cutoff,downstream_distance,time,radius,cutlen,,,
159,297782.8309,574,375.904404,4361.514308,,,
160,249438.7907,577.5,403.5772528,4862.521121,,,
161,338690.3788,587,388.6269224,4260.821583,,,
162,145166.6951,589,352.2510316,13725.6055,,,
163,251542.2456,589.5,341.5749387,3814.674243,,,
164,63335.68294,590.5,289.3384901,3113.516817,,,
165,37877.40304,594,302.7266793,3312.329924,,,
166,124695.5383,601.5,488.9273592,5460.082265,,,
167,219911.6512,602.5,610.1254393,9913.337402,,,
168,404584.8775,610.5,312.9225966,3410.480451,,,
169,218995.7862,614,177.6899194,16934.56198,,,
170,134279.2353,615.5,397.5289889,4311.499164,,,
171,194108.8512,618.5,363.7087051,4312.086089,,,
172,374962.6789,631,306.0153622,3411.476258,,,
173,151054.9145,634,464.2333877,6212.63329,,,
174,245873.5964,636,334.6897703,3460.189999,,,
175,22739.17374,637,291.0837217,3060.424636,,,
176,344439.7115,640,333.7212412,3811.55887,,,
177,55449.73229,644,336.4659297,4061.55425,,,
178,194620.7577,651.5,491.9221867,6163.709382,,,
179,211929.1944,657.5,451.2943799,5714.211878,,,
180,311953.6445,658,335.2379445,3611.003011,,,
181,261265.517,658.5,397.9803444,5012.558722,,,
182,161464.6269,660.5,362.1557331,4411.766951,,,
183,172615.364,663,460.8672278,5561.25464,,,
184,34960.1845,664.5,621.4830821,8160.284401,,,
185,261948.485,673.5,572.8066437,7265.543668,,,
186,71595.48946,681,248.1240344,2760.708175,,,
187,99550.27695,683,455.5702237,5662.19685,,,
188,28449.68386,685,454.8489101,5714.8826,,,
189,331637.8256,686.5,314.4822656,3762.095546,,,
190,341357.8888,687.5,259.0655158,11726.62659,,,
191,267645.796,689,391.1511093,4863.587444,,,
192,260372.999,691,245.93866,2615.191888,,,
193,206687.1739,696,323.7345979,3460.355255,,,
194,105814.502,703.5,475.2093078,5410.335103,,,
195,56560.66873,710,298.777515,3310.358454,,,
196,352880.7648,712,283.2830526,2960.084317,,,
197,90770.21659,716.5,450.632154,5260.233852,,,
198,379091.2696,717,273.427242,2910.359776,,,
199,31956.08344,721.5,196.0871418,1856.918872,,,
200,21229.74787,725.5,563.1488451,6760.207125,,,
201,35980.76228,729.5,340.5054698,3861.286009,,,
202,191846.5052,730.5,439.6769627,5160.528986,,,
203,214654.7191,731.5,518.0617303,6460.629206,,,
204,418841.6152,736.5,548.2114439,6910.543217,,,
205,152503.1922,737,390.6692886,4110.762824,,,
206,257895.2869,740,326.7743821,4263.751954,,,
207,255432.8296,742.5,197.9482529,6469.31364,,,
208,232135.9148,744.5,423.904749,4660.431817,,,
209,123575.3581,758.5,367.6662783,8912.881215,,,
210,285863.2725,760.5,412.1054706,5511.19502,,,
211,4504.043938,761.5,541.7191551,7213.484993,,,
