Cutoff,downstream_distance,time
234,0.9578648214244821,2278.5
235,0.405723578818154,2294.5
236,0.38153839439144877,2308.0
237,0.0982572796815542,2309.0
238,0.6960097759326292,2310.5
239,0.5014671878303582,2328.5
240,0.4788892945395314,2331.5
241,0.7632090348057318,2333.0
242,0.08533350832858634,2341.0
243,0.3844494604697487,2360.5
244,0.41867506743788785,2362.0
245,0.11808539471282656,2371.5
246,0.5576104257799701,2372.5
247,0.3338211994695728,2380.5
248,0.7113272196497497,2387.5
249,0.07875040376818475,2396.5
250,0.9685226943550646,2405.0
251,0.11255108860660702,2414.0
252,0.8986400106985742,2423.0
253,0.1532452050136487,2427.0
254,0.6561973773218479,2436.5
255,0.19499934330948426,2448.0
256,0.5592689047102323,2454.0
257,0.43246849738790766,2457.5
258,0.06785342165862347,2459.5
259,0.5222459608007383,2460.5
260,0.7517363368396788,2461.0
261,0.6829927788708609,2469.5
262,0.8551954413836123,2473.5
263,0.5171944287349566,2474.0
264,0.5649580680513243,2487.5
265,0.4239063184750171,2494.0
266,0.6218159460723599,2510.5
267,0.908072442905521,2512.0
268,0.41624538651456805,2526.5
269,0.3169062612182613,2529.0
270,0.8258644012233286,2532.0
271,0.1019915798656657,2537.5
272,0.2655448931364777,2541.0
273,0.3894012071349899,2555.0
274,0.8355582713271975,2581.5
275,0.25289862318389367,2586.0
276,0.5678922850059439,2588.5
277,0.7372470111079711,2607.0
278,0.19796864812181142,2610.5
279,0.1523620862351471,2612.5
280,0.8282238390204172,2620.0
281,0.3785463571997931,2636.5
282,0.9024801259985247,2661.5
283,0.8803127801324069,2663.5
284,0.260553896810318,2669.5
285,0.5576944616152489,2671.0
286,0.9052293815659442,2679.5
287,0.38952776432679953,2685.5
288,0.8880535169087667,2695.0
289,0.15670869691144795,2710.0
290,0.642699051936749,2719.0
291,0.7012709844666986,2726.5
292,0.4702425395459397,2752.5
293,0.6692823640531824,2760.0
294,0.3503250915506745,2762.0
295,0.5574806489396824,2772.5
296,0.5652259488472344,2774.0
297,0.11439788361236623,2776.0
298,0.29349570382965484,2798.0
299,0.8682886103520923,2799.0
300,0.5299650400973609,2801.5
301,0.8477519741164128,2810.0
302,0.47912570875968813,2842.0
303,0.949649623718922,2847.0
304,0.8432331425851327,2848.5
305,0.8524974824109918,2850.5
306,0.24961646243539434,2854.0
307,0.6344057574219295,2859.5
308,0.8298424640615522,2877.0
309,0.27417205712169607,2877.5
310,0.15985782862802575,2886.0
311,0.05248306900840077,2896.0
312,0.9249930176208384,2898.0
313,0.15931784386906325,2904.0
314,0.10011263363291745,2905.5
315,0.30273921901167217,2922.5
316,0.37533110147634324,2924.5
317,0.27810606812218164,2929.0
318,0.7181611291535155,2949.5
319,0.9008798825531039,2964.5
320,0.5528831281663958,2967.5
321,0.5913476390538783,2978.5
322,0.6534001881084355,2982.0
323,0.11923634371332434,2990.0
324,0.7431914874084736,3011.5
325,0.5518740770559593,3012.5
326,0.6534895852355523,3015.0
327,0.7675888936608534,3027.5
328,0.5745651026176988,3030.0
329,0.364985603831161,3035.0
330,0.5652316275322089,3040.0
331,0.4197369065014021,3048.0
332,0.9667514466263674,3055.5
333,0.5806471844841038,3068.0
334,0.828364689035201,3074.5
335,0.014540212773667604,3075.0
336,0.84746015190966,3085.5
337,0.81810547861026,3094.5
338,0.23120925060636446,3105.5
339,0.8654794698681562,3106.5
340,0.320008159402845,3113.5
341,0.21444954412290085,3122.5
342,0.19218034892331748,3123.5
343,0.11844523215315604,3125.0
344,0.2711610664069517,3132.5
345,0.8942466500321923,3142.5
346,0.21625734558009926,3145.5
